,split,seed,size,Precision,Recall,F1_score,Accuracy,AUC_ROC
0,digits,2,1,0.5151361588652893,0.597425,0.5297254295279242,0.919485,0.7763472222222222
1,digits,2,2,0.4109332597889342,0.4976,0.4247910172060676,0.8995199999999999,0.7208888888888888
2,digits,2,3,0.4126820567938477,0.497975,0.4257564555259228,0.899595,0.7210972222222222
3,digits,2,4,0.6172612213671893,0.695075,0.6338947915490922,0.939015,0.8305972222222222
4,digits,2,5,0.8429212536244473,0.8933250000000001,0.8599470521685664,0.978665,0.9407361111111112
5,digits,2,6,0.7259979331806566,0.7941500000000001,0.7437927653734693,0.95883,0.8856388888888889
6,digits,2,7,0.3103258157798528,0.39715,0.3217917164148228,0.8794299999999999,0.6650833333333332
7,digits,2,8,0.413456761291049,0.4965249999999999,0.4253489448496291,0.899305,0.7202916666666667
8,digits,2,9,0.5183173980457062,0.5945,0.527285545314972,0.9189,0.7747222222222223
9,digits,2,10,0.7249441076515949,0.7919750000000001,0.7419634671960118,0.958395,0.8844305555555556
10,balanced,2,1,0.8362642744972053,0.8486170212765959,0.8414191702838134,0.9935581711181533,0.9226630434782608
11,balanced,2,2,0.548657469589337,0.5963829787234043,0.5663364842031046,0.9828248076052514,0.7938043478260869
12,balanced,2,3,0.4431200346737432,0.4856914893617021,0.4546081285986045,0.9781145314622004,0.7372554347826088
13,balanced,2,4,0.5856438631172997,0.6211170212765957,0.5947141335766858,0.9838773200543232,0.8064402173913043
14,balanced,2,5,0.407715262255017,0.4457978723404255,0.421517164264295,0.9764169307378906,0.716875
15,balanced,2,6,0.4718552545256366,0.5014361702127661,0.4775727774597033,0.9787845178813942,0.7452989130434784
16,balanced,2,7,0.6204201695343293,0.6437234042553192,0.622458647705847,0.9848392937980988,0.8179891304347825
17,balanced,2,8,0.5466236993721438,0.5725,0.5515274896066571,0.9818085106382978,0.7816032608695652
18,balanced,2,9,0.5553956026889908,0.5634574468085105,0.5449482189466203,0.9814237211407876,0.7769836956521737
19,balanced,2,10,0.605468940572123,0.6213829787234044,0.6051220545227234,0.9838886373924852,0.8065760869565219
20,fashion,2,1,0.3391308131430496,0.4295999999999999,0.3582557386391024,0.8859199999999999,0.683111111111111
21,fashion,2,2,0.5462438503309862,0.6319999999999999,0.5704741033687963,0.9264,0.7955555555555556
22,fashion,2,3,0.5426306853421341,0.638,0.572094867314893,0.9276,0.7988888888888888
23,fashion,2,4,0.6094127728567307,0.6942,0.639734177424708,0.93884,0.8301111111111112
24,fashion,2,5,0.6138649095581612,0.6716,0.6320958006231541,0.93432,0.8175555555555555
25,fashion,2,6,0.8569003222299963,0.8543000000000001,0.8554469313363591,0.9708599999999998,0.9190555555555556
26,fashion,2,7,0.8782330157575331,0.8774000000000001,0.8776768063924301,0.97548,0.9318888888888888
27,fashion,2,8,0.6130577110757633,0.7102999999999999,0.6495909190863259,0.94206,0.8390555555555557
28,fashion,2,9,0.5935456161517932,0.6733,0.6238167382254021,0.9346599999999998,0.8184999999999999
29,fashion,2,10,0.846159689846855,0.8405000000000001,0.8381351541885536,0.9681,0.9113888888888888
30,digits,5,1,0.4107687766979013,0.4984249999999999,0.4249989118494078,0.8996850000000001,0.7213472222222223
31,digits,5,2,0.9943840888208484,0.994375,0.9943767616610384,0.998875,0.996875
32,digits,5,3,0.9931621695088476,0.99315,0.9931529886165456,0.99863,0.9961944444444444
33,digits,5,4,0.989876680741073,0.98985,0.9898553878561692,0.99797,0.9943611111111113
34,digits,5,5,0.991237133980862,0.991225,0.991226527149106,0.998245,0.995125
35,digits,5,6,0.8404710248037788,0.890775,0.8574358363536417,0.978155,0.9393194444444444
36,digits,5,7,0.991857148832184,0.99185,0.9918512998298572,0.99837,0.995472222222222
37,digits,5,8,0.7226020787014938,0.7908250000000001,0.7403467995698679,0.958165,0.8837916666666666
38,digits,5,9,0.6198140592106476,0.694725,0.6348431955880287,0.938945,0.8304027777777778
